股票名, 代码, 时间戳, 上市时间
SZ002789, 建艺集团, 1457625600, 2016-03-11 00:00:00
SH603919, 金徽酒, 1457539200, 2016-03-10 00:00:00
SZ300503, 昊志机电, 1457452800, 2016-03-09 00:00:00
SH603520, 司太立, 1457452800, 2016-03-09 00:00:00
SZ002790, 瑞尔特, 1457366400, 2016-03-08 00:00:00
SH603027, 千禾味业, 1457280000, 2016-03-07 00:00:00
SZ300502, 新易盛, 1456934400, 2016-03-03 00:00:00
SH603608, 天创时尚, 1455724800, 2016-02-18 00:00:00
SZ002788, 鹭燕医药, 1455724800, 2016-02-18 00:00:00
SH601900, 南方传媒, 1455465600, 2016-02-15 00:00:00
